name,year,duration,genre,movie_url
Once Upon a Time in America,1984,3h 49min,"Crime,Drama",https://www.imdb.com/title/tt0087843/
Apocalypse Now,1979,2h 27min,"Drama,Mystery,War",https://www.imdb.com/title/tt0078788/
The Shining,1980,2h 26min,"Drama,Horror",https://www.imdb.com/title/tt0081505/
Tengoku to Jigoku,1963,2h 23min,"Crime,Drama,Mystery",https://www.imdb.com/title/tt0057565/
Raiders of the Lost Ark,1981,1h 55min,"Action,Adventure",https://www.imdb.com/title/tt0082971/
Memento,2000,1h 53min,"Mystery,Thriller",https://www.imdb.com/title/tt0209144/
Mononoke-hime,1997,2h 14min,"Animation,Action,Adventure",https://www.imdb.com/title/tt0119698/
Oldeuboi,2003,1h 41min,"Action,Drama,Mystery",https://www.imdb.com/title/tt0364569/
Das Leben Der Anderen,2006,2h 17min,"Drama,Mystery,Thriller",https://www.imdb.com/title/tt0405094/
Taare Zameen Par,2007,2h 45min,"Drama,Family",https://www.imdb.com/title/tt0986264/
3 Idiots,2009,2h 50min,"Comedy,Drama",https://www.imdb.com/title/tt1187043/
The Dark Knight Rises,2012,2h 44min,Action,https://www.imdb.com/title/tt1345836/
Coco,2017,1h 45min,"Animation,Adventure,Comedy",https://www.imdb.com/title/tt2380307/
Django Unchained,2012,2h 45min,"Drama,Western",https://www.imdb.com/title/tt1853728/
WALL·E,2008,1h 38min,"Animation,Adventure,Family",https://www.imdb.com/title/tt0910970/
Dune,2021,2h 35min,"Action,Adventure,Drama",https://www.imdb.com/title/tt1160419/
Avengers: Infinity War,2018,2h 29min,"Action,Adventure,Sci-Fi",https://www.imdb.com/title/tt4154756/
Hamilton,2020,2h 40min,"Biography,Drama,History",https://www.imdb.com/title/tt8503618/
Spider-Man: Into the Spider-Verse,2018,1h 57min,"Animation,Action,Adventure",https://www.imdb.com/title/tt4633694/
Capharnaüm,2018,2h 6min,Drama,https://www.imdb.com/title/tt8267604/
Dangal,2016,2h 41min,"Action,Biography,Drama",https://www.imdb.com/title/tt5074352/
Kimi No Na Wa.,2016,1h 46min,"Animation,Drama,Fantasy",https://www.imdb.com/title/tt5311514/
Joker,2019,2h 2min,"Crime,Drama,Thriller",https://www.imdb.com/title/tt7286456/
Avengers: Endgame,2019,3h 1min,"Action,Adventure,Drama",https://www.imdb.com/title/tt4154796/
City Lights,1931,1h 27min,"Comedy,Drama,Romance",https://www.imdb.com/title/tt0021749/
Seppuku,1962,2h 13min,"Action,Drama,Mystery",https://www.imdb.com/title/tt0056058/
Modern Times,1936,1h 27min,"Comedy,Drama,Family",https://www.imdb.com/title/tt0027977/
Se7en,1995,2h 7min,"Crime,Drama,Mystery",https://www.imdb.com/title/tt0114369/
The Silence of the Lambs,1991,1h 58min,"Crime,Drama,Thriller",https://www.imdb.com/title/tt0102926/
Star Wars,1977,2h 1min,"Action,Adventure,Fantasy",https://www.imdb.com/title/tt0076759/
Life Is Beautiful,1997,1h 56min,"Comedy,Drama,Romance",https://www.imdb.com/title/tt0118799/
Saving Private Ryan,1998,2h 49min,"Drama,War",https://www.imdb.com/title/tt0120815/
The Green Mile,1999,3h 9min,"Crime,Drama,Fantasy",https://www.imdb.com/title/tt0120689/
City of God,2002,2h 10min,"Crime,Drama",https://www.imdb.com/title/tt0317248/
Sen to Chihiro No Kamikakushi,2001,2h 5min,"Animation,Adventure,Family",https://www.imdb.com/title/tt0245429/
Parasite,2019,2h 12min,"Comedy,Drama,Thriller",https://www.imdb.com/title/tt6751668/
Interstellar,2014,2h 49min,"Adventure,Drama,Sci-Fi",https://www.imdb.com/title/tt0816692/
One Flew Over the Cuckoo's Nest,1975,2h 13min,Drama,https://www.imdb.com/title/tt0073486/
The Matrix,1999,2h 16min,"Action,Sci-Fi",https://www.imdb.com/title/tt0133093/
Goodfellas,1990,2h 26min,"Biography,Crime,Drama",https://www.imdb.com/title/tt0099685/
The Lord of the Rings: The Two Towers,2002,2h 59min,"Action,Adventure,Drama",https://www.imdb.com/title/tt0167261/
"Il Buono, Il Brutto, Il Cattivo",1966,2h 41min,Western,https://www.imdb.com/title/tt0060196/
Star Wars: Episode V - The Empire Strikes Back,1980,2h 4min,"Action,Adventure,Fantasy",https://www.imdb.com/title/tt0080684/
Inception,2010,2h 28min,"Action,Adventure,Sci-Fi",https://www.imdb.com/title/tt1375666/
Forrest Gump,1994,2h 22min,"Drama,Romance",https://www.imdb.com/title/tt0109830/
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58min,"Action,Adventure,Drama",https://www.imdb.com/title/tt0120737/
Fight Club,1999,2h 19min,Drama,https://www.imdb.com/title/tt0137523/
Pulp Fiction,1994,2h 34min,"Crime,Drama",https://www.imdb.com/title/tt0110912/
The Lord of the Rings: The Return of the King,2003,3h 21min,"Action,Adventure,Drama",https://www.imdb.com/title/tt0167260/
Schindler's List,1993,3h 15min,"Biography,Drama,History",https://www.imdb.com/title/tt0108052/
The Godfather: Part II,1974,3h 22min,"Crime,Drama",https://www.imdb.com/title/tt0071562/
12 Angry Men,1957,1h 36min,"Crime,Drama",https://www.imdb.com/title/tt0050083/
The Dark Knight,2008,2h 32min,"Action,Crime,Drama",https://www.imdb.com/title/tt0468569/
The Godfather,1972,2h 55min,"Crime,Drama",https://www.imdb.com/title/tt0068646/
